length,turns,opened,architect,capacity,location,wiki_url,circuit_id,circuit_name,country,http_status,scrape_error
5.911 km (3.673 mi),16,26 July 1969 ; 56 years ago ( 1969-07-26 ) Re-opened: 15 May 2011 ; 15 years ago ( 2011-05-15 ),,"105,000 [ 1 ]","Spielberg , Styria , Austria",https://en.wikipedia.org/wiki/Red_Bull_Ring,red_bull_ring,Red Bull Ring,Austria,200,
4.014 km (2.494 mi),16,24 March 1986 ; 40 years ago ( 1986-03-24 ),István Papp & Ferenc Gulácsi,"70,000","Mogyoród , Pest County , Hungary",https://en.wikipedia.org/wiki/Hungaroring,hungaroring,Hungaroring,Hungary,200,
5.907 km (3.670 mi),17,1948,,"164,000","Silverstone , Northamptonshire , United Kingdom",https://en.wikipedia.org/wiki/Silverstone_Circuit,silverstone,Silverstone Circuit,UK,200,
4.747 km (2.950 mi),14,10 September 1991 ; 34 years ago ( 1991-09-10 ),,"140,700","Montmeló , Barcelona , Catalonia , Spain",https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,catalunya,Circuit de Barcelona-Catalunya,Spain,200,
14.982 km (9.309 mi),25,August 1921 ; 104 years ago ( 1921-08 ),Jules de Thier and Henri Langlois van Ophem,"70,000","Stavelot , Belgium",https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,spa,Circuit de Spa-Francorchamps,Belgium,200,
10.000 km (6.214 mi),9,3 September 1922 ; 103 years ago ( 1922-09-03 ),Alfredo Rosselli,"118,865 [ 2 ]","Monza , Italy [ 1 ]",https://en.wikipedia.org/wiki/Monza_Circuit,monza,Autodromo Nazionale di Monza,Italy,200,
64.591 km (40.135 mi),400+,23 June 1974 ; 51 years ago ( 1974-06-23 ),,"50,000","Scarperia e San Piero , Florence , Tuscany , Italy",https://en.wikipedia.org/wiki/Mugello_Circuit,mugello,Autodromo Internazionale del Mugello,Italy,200,
5.848 km (3.634 mi),18,21 September 2014 ; 11 years ago ( 2014-09-21 ) [ 1 ],Hermann Tilke,"55,000","Sirius , Krasnodar Krai , Russia",https://en.wikipedia.org/wiki/Sochi_Autodrom,sochi,Sochi Autodrom,Russia,200,
28.265 km (17.563 mi),187,,,"150,000","Nürburg , Rhineland-Palatinate, Germany",https://en.wikipedia.org/wiki/N%C3%BCrburgring,nurburgring,Nürburgring,Germany,200,
4.684 km (2.911 mi),16,October 2008 ; 17 years ago ( 2008-10 ),Ricardo Pina,"100,000","Portimão , Algarve, Portugal",https://en.wikipedia.org/wiki/Algarve_International_Circuit,portimao,Autódromo Internacional do Algarve,Portugal,200,
5.018 km (3.118 mi),12,25 April 1953 ; 73 years ago ( 1953-04-25 ),,"78,000 [ 1 ]","Imola , Emilia-Romagna , Italy",https://en.wikipedia.org/wiki/Imola_Circuit,imola,Autodromo Enzo e Dino Ferrari,Italy,200,
1.346 km (0.836 mi),14,19 August 2005 ; 20 years ago ( 2005-08-19 ),Hermann Tilke [ 3 ],"125,000","Tuzla , Istanbul , Turkey",https://en.wikipedia.org/wiki/Istanbul_Park,istanbul,Istanbul Park,Turkey,200,
5.417 km (3.366 mi),15,17 March 2004 ; 22 years ago ( 2004-03-17 ),Hermann Tilke,"70,000","Sakhir , Bahrain",https://en.wikipedia.org/wiki/Bahrain_International_Circuit,bahrain,Bahrain International Circuit,Bahrain,200,
2.360 km (1.466 mi),12,October 2009 ; 16 years ago ( 2009-10 ),Hermann Tilke,"60,000","Yas Island , Abu Dhabi , UAE",https://en.wikipedia.org/wiki/Yas_Marina_Circuit,yas_marina,Yas Marina Circuit,UAE,200,
3.180 km (1.976 mi),14,14 April 1929 ; 97 years ago ( 1929-04-14 ),,"37,000","La Condamine and Monte Carlo , Monaco",https://en.wikipedia.org/wiki/Circuit_de_Monaco,monaco,Circuit de Monaco,Monaco,200,
6.003 km (3.730 mi),20,17 June 2016 ; 9 years ago ( 2016-06-17 ),Hermann Tilke,"18,500 [ 1 ] [ 2 ]","Azadliq Square , Baku , Azerbaijan",https://en.wikipedia.org/wiki/Baku_City_Circuit,baku,Baku City Circuit,Azerbaijan,200,
3.263 km (2.028 mi),9,19 April 1970 ; 56 years ago ( 1970-04-19 ),,"90,000","Le Castellet, Var , France",https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,ricard,Circuit Paul Ricard,France,200,
4.193 km (2.605 mi),19,7 August 1948 ; 77 years ago ( 1948-08-07 ) [ 2 ],,"105,000","Zandvoort , North Holland , Netherlands",https://en.wikipedia.org/wiki/Circuit_Zandvoort,zandvoort,Circuit Park Zandvoort,Netherlands,200,
2.300 mi (3.702 km),19,"October 21, 2012 ; 13 years ago ( 2012-10-21 )","Tavo Hellmund , Kevin Schwantz , and Hermann Tilke","120,000 [ 1 ]","Austin, Texas , United States",https://en.wikipedia.org/wiki/Circuit_of_the_Americas,americas,Circuit of the Americas,USA,200,
3.991 km (2.480 mi),10,20 November 1959 ; 66 years ago ( 1959-11-20 ),,"110,000","Mexico City , Mexico",https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,rodriguez,Autódromo Hermanos Rodríguez,Mexico,200,
7.960 km (4.946 mi),26,12 May 1940 ( 1940-05-12 ),,"60,000","Interlagos , São Paulo , Brazil",https://en.wikipedia.org/wiki/Interlagos_Circuit,interlagos,Autódromo José Carlos Pace,Brazil,200,
5.380 km (3.343 mi),16,30 September 2004 ; 21 years ago ( 2004-09-30 ),,"52,000","Lusail , Al Daayen , Qatar",https://en.wikipedia.org/wiki/Lusail_International_Circuit,losail,Losail International Circuit,Qatar,200,
3.450 km (2.144 mi),12,3 December 2021 ; 4 years ago ( 2021-12-03 ),Carsten Tilke [ 3 ],"50,000 [ 1 ]","Jeddah , Saudi Arabia",https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,jeddah,Jeddah Corniche Circuit,Saudi Arabia,200,
5.027 km (3.124 mi),9,20 November 1953 ; 72 years ago ( 1953-11-20 ) Re-opened: 7 March 1996 ; 30 years ago ( 1996-03-07 ),,"~125,000 (44,000 seating) [ 1 ] [ 2 ]","Albert Park , Melbourne , Victoria (Australia)",https://en.wikipedia.org/wiki/Albert_Park_Circuit,albert_park,Albert Park Grand Prix Circuit,Australia,200,
1.442 mi (2.320 km),13,"May 7, 2022 ; 4 years ago ( 2022-05-07 )",Apex Circuit Design,"65,000 [ 1 ]","Hard Rock Stadium , Miami Gardens, Florida , U.S.",https://en.wikipedia.org/wiki/Miami_International_Autodrome,miami,Miami International Autodrome,USA,200,
4.410 km (2.740 mi),19,6 October 1978 ; 47 years ago ( 1978-10-06 ),Roger Peart [ 2 ],"100,000","Parc Jean-Drapeau , Montreal , Quebec",https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,villeneuve,Circuit Gilles Villeneuve,Canada,200,
5.073 km (3.152 mi),23,31 August 2008 ; 17 years ago ( 2008-08-31 ),KBR,">90,000","Downtown Core and Kallang , Marina Bay, Singapore",https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,marina_bay,Marina Bay Street Circuit,Singapore,200,
