constructor_lineage,circuit_id,mean_delta,driver_entries,n_races,mean_delta_masked
AlphaTauri/RB,albert_park,-1.3257575757575761,8,4,-1.3257575757575761
AlphaTauri/RB,americas,-0.16060606060606092,10,5,-0.16060606060606092
AlphaTauri/RB,bahrain,0.06175197351667906,14,7,0.06175197351667906
AlphaTauri/RB,baku,-2.360606060606061,10,5,-2.360606060606061
AlphaTauri/RB,catalunya,0.46910279263220406,12,6,0.46910279263220406
AlphaTauri/RB,hungaroring,-0.36423054070112926,12,6,-0.36423054070112926
AlphaTauri/RB,imola,-1.546167557932264,10,5,-1.546167557932264
AlphaTauri/RB,interlagos,-1.960606060606061,10,5,-1.960606060606061
AlphaTauri/RB,istanbul,0.5588235294117645,4,2,
AlphaTauri/RB,jeddah,-0.5606060606060609,10,5,-0.5606060606060609
AlphaTauri/RB,losail,1.2196969696969693,8,4,1.2196969696969693
AlphaTauri/RB,marina_bay,0.29924242424242387,8,4,0.29924242424242387
AlphaTauri/RB,miami,0.42424242424242387,8,4,0.42424242424242387
AlphaTauri/RB,monaco,-1.460606060606061,10,5,-1.460606060606061
AlphaTauri/RB,monza,0.38576945929887074,12,6,0.38576945929887074
AlphaTauri/RB,mugello,-0.382352941176471,2,1,
AlphaTauri/RB,nurburgring,0.117647058823529,2,1,
AlphaTauri/RB,portimao,1.5588235294117645,4,2,
AlphaTauri/RB,red_bull_ring,0.8040329768270942,16,8,0.8040329768270942
AlphaTauri/RB,ricard,0.15909090909090917,4,2,
AlphaTauri/RB,rodriguez,1.039393939393939,10,5,1.039393939393939
AlphaTauri/RB,shanghai,3.166666666666666,4,2,
AlphaTauri/RB,silverstone,1.204609116373822,14,7,1.204609116373822
AlphaTauri/RB,sochi,1.0588235294117645,4,2,
AlphaTauri/RB,spa,-0.36423054070112926,12,6,-0.36423054070112926
AlphaTauri/RB,suzuka,0.42424242424242387,8,4,0.42424242424242387
AlphaTauri/RB,vegas,-0.04040404040404096,6,3,-0.04040404040404096
AlphaTauri/RB,villeneuve,2.049242424242424,8,4,2.049242424242424
